,winner,losser,winner_name,losser_name
0,1,2,['Rafael-Nadal'],['Juan-Monaco']
1,1,3,['Rafael-Nadal'],['Juan-Martin-Del-Potro']
2,1,3,['Rafael-Nadal'],['Juan-Martin-Del-Potro']
3,1,3,['Rafael-Nadal'],['Juan-Martin-Del-Potro']
4,1,3,['Rafael-Nadal'],['Juan-Martin-Del-Potro']
5,1,4,['Rafael-Nadal'],['Mardy-Fish']
6,1,4,['Rafael-Nadal'],['Mardy-Fish']
7,1,4,['Rafael-Nadal'],['Mardy-Fish']
8,4,1,['Mardy-Fish'],['Rafael-Nadal']
9,1,5,['Rafael-Nadal'],['Roger-Federer']
10,1,5,['Rafael-Nadal'],['Roger-Federer']
11,1,5,['Rafael-Nadal'],['Roger-Federer']
12,5,1,['Roger-Federer'],['Rafael-Nadal']
13,1,6,['Rafael-Nadal'],['Jo-Wilfried-Tsonga']
14,6,1,['Jo-Wilfried-Tsonga'],['Rafael-Nadal']
15,6,1,['Jo-Wilfried-Tsonga'],['Rafael-Nadal']
16,1,7,['Rafael-Nadal'],['Guillermo-Garcia-Lopez']
17,8,1,['Florian-Mayer'],['Rafael-Nadal']
18,1,9,['Rafael-Nadal'],['Milos-Raonic']
19,1,10,['Rafael-Nadal'],['Santiago-Giraldo']
20,1,10,['Rafael-Nadal'],['Santiago-Giraldo']
21,1,11,['Rafael-Nadal'],['Andy-Murray']
22,1,11,['Rafael-Nadal'],['Andy-Murray']
23,1,11,['Rafael-Nadal'],['Andy-Murray']
24,1,11,['Rafael-Nadal'],['Andy-Murray']
25,11,1,['Andy-Murray'],['Rafael-Nadal']
26,1,12,['Rafael-Nadal'],['Richard-Gasquet']
27,1,12,['Rafael-Nadal'],['Richard-Gasquet']
28,1,12,['Rafael-Nadal'],['Richard-Gasquet']
29,1,13,['Rafael-Nadal'],['David-Nalbandian']
30,1,14,['Rafael-Nadal'],['Gilles-Muller']
31,1,14,['Rafael-Nadal'],['Gilles-Muller']
32,1,15,['Rafael-Nadal'],['Andy-Roddick']
33,16,1,['Novak-Djokovic'],['Rafael-Nadal']
34,16,1,['Novak-Djokovic'],['Rafael-Nadal']
35,16,1,['Novak-Djokovic'],['Rafael-Nadal']
36,16,1,['Novak-Djokovic'],['Rafael-Nadal']
37,16,1,['Novak-Djokovic'],['Rafael-Nadal']
38,16,1,['Novak-Djokovic'],['Rafael-Nadal']
39,1,17,['Rafael-Nadal'],['Fernando-Verdasco']
40,1,18,['Rafael-Nadal'],['Ivan-Dodig']
41,18,1,['Ivan-Dodig'],['Rafael-Nadal']
42,1,19,['Rafael-Nadal'],['Ryan-Sweeting']
43,1,19,['Rafael-Nadal'],['Ryan-Sweeting']
44,1,19,['Rafael-Nadal'],['Ryan-Sweeting']
45,1,20,['Rafael-Nadal'],['Radek-Stepanek']
46,1,21,['Rafael-Nadal'],['John-Isner']
47,1,22,['Rafael-Nadal'],['Pablo-Andujar']
48,1,23,['Rafael-Nadal'],['Ivan-Ljubicic']
49,1,23,['Rafael-Nadal'],['Ivan-Ljubicic']
50,1,24,['Rafael-Nadal'],['Robin-Soderling']
51,1,25,['Rafael-Nadal'],['Feliciano-Lopez']
52,1,25,['Rafael-Nadal'],['Feliciano-Lopez']
53,1,26,['Rafael-Nadal'],['Marin-Cilic']
54,1,26,['Rafael-Nadal'],['Marin-Cilic']
55,1,27,['Rafael-Nadal'],['Marcos-Baghdatis']
56,1,28,['Rafael-Nadal'],['Michael-Llodra']
57,1,29,['Rafael-Nadal'],['Gael-Monfils']
58,1,30,['Rafael-Nadal'],['David-Ferrer']
59,1,30,['Rafael-Nadal'],['David-Ferrer']
60,30,1,['David-Ferrer'],['Rafael-Nadal']
61,1,31,['Rafael-Nadal'],['Jarkko-Nieminen']
62,1,32,['Rafael-Nadal'],['Kei-Nishikori']
63,1,33,['Rafael-Nadal'],['Alexandr-Dolgopolov']
64,1,34,['Rafael-Nadal'],['Tomas-Berdych']
65,1,35,['Rafael-Nadal'],['Somdev-K-Devvarman']
66,1,36,['Rafael-Nadal'],['Ivo-Karlovic']
67,1,37,['Rafael-Nadal'],['Olivier-Rochus']
68,1,38,['Rafael-Nadal'],['Bernard-Tomic']
69,1,39,['Rafael-Nadal'],['Karol-Beck']
70,1,40,['Rafael-Nadal'],['Ernests-Gulbis']
71,41,1,['Nikolay-Davydenko'],['Rafael-Nadal']
72,2,42,['Juan-Monaco'],['Gilles-Simon']
73,2,4,['Juan-Monaco'],['Mardy-Fish']
74,2,4,['Juan-Monaco'],['Mardy-Fish']
75,5,2,['Roger-Federer'],['Juan-Monaco']
76,5,2,['Roger-Federer'],['Juan-Monaco']
77,5,2,['Roger-Federer'],['Juan-Monaco']
78,2,43,['Juan-Monaco'],['Nicolas-Almagro']
79,2,44,['Juan-Monaco'],['Fabio-Fognini']
80,2,45,['Juan-Monaco'],['Juan-Carlos-Ferrero']
81,2,30,['Juan-Monaco'],['David-Ferrer']
82,30,2,['David-Ferrer'],['Juan-Monaco']
83,46,2,['Marcel-Granollers'],['Juan-Monaco']
84,47,2,['Stanislas-Wawrinka'],['Juan-Monaco']
85,47,2,['Stanislas-Wawrinka'],['Juan-Monaco']
86,18,2,['Ivan-Dodig'],['Juan-Monaco']
87,2,48,['Juan-Monaco'],['Janko-Tipsarevic']
88,48,2,['Janko-Tipsarevic'],['Juan-Monaco']
89,2,49,['Juan-Monaco'],['Andreas-Seppi']
90,2,49,['Juan-Monaco'],['Andreas-Seppi']
91,2,20,['Juan-Monaco'],['Radek-Stepanek']
92,2,32,['Juan-Monaco'],['Kei-Nishikori']
93,15,2,['Andy-Roddick'],['Juan-Monaco']
94,34,2,['Tomas-Berdych'],['Juan-Monaco']
95,34,2,['Tomas-Berdych'],['Juan-Monaco']
96,34,2,['Tomas-Berdych'],['Juan-Monaco']
